Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Лонгслив FOUR SISTERS ROOM;https://www.ozon.ru/product/1165125143;FOUR SISTERS ROOM;Одежда;Лонгслив;Да;439650;3;380;1;1157;145834;75;20833;18;FBO;4;1.2;24.7;35.8;111138;9542;0.05;10.66;0.6;57.1;2023-08-31
Жилет ZERTELLI Классический;https://www.ozon.ru/product/1214806518;ZERTELLI;Одежда;Жилет;Да;439645;-44;184;1826.3;2389;0;100;15234;6;FBO;3;1.5;22.2;31.7;27598;4664;0;11.02;3.9;38.9;2023-09-28
Куртка SVOBODNY INDIVIDUALISM;https://www.ozon.ru/product/531586870;SVOBODNY INDIVIDUALISM;Одежда;Куртка;Да;439605;-57;152;2008.5;2892;0;100;14476;5;FBO,FBS;4;5;22.6;32;51456;2966;0.01;13.14;0.1;22.5;2022-03-23
Блузка TTtextile;https://www.ozon.ru/product/1679871314;TTtextile;Одежда;Блузка;Да;439539;129;327;117;1344;0;100;15406;11;FBO;3;0.9;23.5;34.1;95431;8453;0.02;11.53;0;51.5;2024-09-03
Куртка MISSNOWE;https://www.ozon.ru/product/1094222954;MISSNOWE;Одежда;Куртка;Да;439488;633;136;2427;3232;33173;93;16586;5;FBO,FBS;5;12.1;24.3;33.9;39461;2912;0.01;12.91;0;41;2023-07-24
Джинсы Onebillione;https://www.ozon.ru/product/1588140580;Onebillione;Одежда;Джинсы;Да;439373;34;173;2235.5;2540;0;100;14969;6;FBO;3;2.3;22.3;31.7;60160;3893;0.02;8.57;13.3;44.5;2024-05-28
Свитер MY BLOOM;https://www.ozon.ru/product/1687599531;MY BLOOM;Одежда;Свитер;Да;439360;1279;138;1061.2;3184;0;100;14550;5;FBO;5;2.4;21.7;30.8;49444;6468;0.06;7.52;3.1;58.2;2024-09-09
Куртка Zarina;https://www.ozon.ru/product/1631895065;Zarina;Одежда;Куртка;Да;439324;-47;104;3435.2;4224;758862;36;42159;10;FBO;5;19.7;24;33.4;43917;2721;0.01;7.46;0.7;42.2;2024-07-18
Куртка;https://www.ozon.ru/product/1290479275;без бренда;Одежда;Куртка;Да;439207;124;81;4877.9;5422;118500;79;19750;4;FBO;5;15.4;22.9;32;58324;5563;0.01;5.59;0;57.3;2023-11-14
Халат bloomline;https://www.ozon.ru/product/1421775898;bloomline;Одежда;Халат;Да;439156;166;178;1797.8;2467;0;100;15582;6;FBO;3;32.8;32.5;44.1;32638;4685;0.11;10.05;0;82.6;2024-02-13
Пуховик D2L;https://www.ozon.ru/product/1694378323;D2L;Одежда;Пуховик;Да;439055;Нет данных;68;5949;6457;0;100;15681;2;FBO;3;12;21.9;30.7;87519;5162;0.01;5.23;10.9;24.6;2024-09-15
Куртка Miss Diva;https://www.ozon.ru/product/1671982903;Miss Diva;Одежда;Куртка;Да;439047;3626;79;4823;5558;0;100;15680;3;FBO;3;41.3;26.6;36.4;68800;5441;0.03;5.91;3.3;32.9;2024-08-27
Куртка Осенняя коллекция;https://www.ozon.ru/product/1087149935;без бренда;Одежда;Куртка;Да;438841;123;95;3963.3;4619;0;100;14761;3;FBO;4;17.5;23.7;33.1;71457;11773;0;3.38;2;43;2023-07-19
Пуховик;https://www.ozon.ru/product/1189347945;без бренда;Одежда;Пуховик;Да;438753;1201;38;10924;11546;237379;64;23738;2;FBO;5;21.6;19.8;28.4;54430;2824;0;6.01;8.6;41.6;2023-09-13
Куртка DAUNTLESS;https://www.ozon.ru/product/1307630609;DAUNTLESS;Одежда;Куртка;Да;438751;192;66;5980;6648;16030;96;16030;2;FBO,FBS;8;18.9;22.6;31.6;56973;2594;0;10.02;3.2;70.9;2023-11-24
Брюки OLETRO Палаццо;https://www.ozon.ru/product/1382136390;OLETRO;Одежда;Брюки;Да;438726;167;268;1057.5;1637;0;100;15308;9;FBO;3;1.2;23.3;33.5;73689;6382;0.01;11.57;8.9;42.6;2024-01-12
Джинсы SHOCK ROOM;https://www.ozon.ru/product/1232173389;SHOCK ROOM;Одежда;Джинсы;Да;438722;2;187;1694.3;2346;0;100;15134;6;FBO;4;2.9;22.7;32.3;17342;2042;0.05;22.08;0;40.3;2023-10-10
Пальто I'M COMOKOD WOMAN Черный;https://www.ozon.ru/product/1065551197;I'M COMOKOD WOMAN;Одежда;Пальто;Да;438697;1;92;4249.9;4768;73255;86;18314;4;FBO;3;13.4;22.9;32;26220;2157;0.03;12;1.1;31.3;2023-07-05
Куртка TOT brand;https://www.ozon.ru/product/1600447371;TOT brand;Одежда;Куртка;Да;438659;-7;91;4488;4820;203357;68;22595;5;FBO;4;25.2;24.9;34.4;96594;5723;0.01;4.82;7.4;50.5;2024-06-10
Пуховик LIMI cloth;https://www.ozon.ru/product/1196582257;LIMI cloth;Одежда;Пуховик;Да;438599;932;89;4564;4928;0;100;15161;3;FBO;4;29.6;25.7;35.4;109396;11786;0.01;3.73;5.8;42.1;2023-09-18
Брюки утепленные LAINA Комфорт;https://www.ozon.ru/product/190791906;LAINA;Одежда;Брюки утепленные;Да;438599;351;144;2486.7;3046;0;100;15474;5;FBO;4;4.7;22.2;31.5;61235;5522;0.02;12.69;0;62.1;2020-08-28
Куртка кожаная Zooty wear;https://www.ozon.ru/product/591611858;Zooty wear;Одежда;Куртка кожаная;Да;438482;28;221;1433;1984;0;100;15335;8;FBO;3;2.5;23;32.8;79081;3603;0.05;14.98;0;27.4;2022-05-19
Куртка Осенняя коллекция;https://www.ozon.ru/product/1397187861;без бренда;Одежда;Куртка;Да;438430;76;99;4027;4429;0;100;15058;3;FBO;5;17.5;23.9;33.3;69859;4660;0.01;6.56;0.7;39.3;2024-01-21
Брюки Мужская серия;https://www.ozon.ru/product/1686882689;без бренда;Одежда;Брюки;Да;438413;2167;109;3381.5;4022;93738;82;18748;5;FBO;4;3.6;21.7;30.7;11564;7529;0.02;6.03;10;60.7;2024-09-09
Джинсы BUNS;https://www.ozon.ru/product/1597207576;BUNS;Одежда;Джинсы;Да;438399;237;230;1335.8;1906;92249;82;18450;10;FBO;4;3.7;23.8;33.9;26804;3063;0.1;17.49;0;49.7;2024-06-06
Шуба искусственная Armelona;https://www.ozon.ru/product/1665681347;Armelona;Одежда;Шуба искусственная;Да;438396;1551;103;2755.5;4256;33383;93;16692;4;FBO;4;19.8;24.3;33.8;72786;5222;0.04;8.06;0;52;2024-08-22
Куртка Shop Of Dom;https://www.ozon.ru/product/1605643966;Shop Of Dom;Одежда;Куртка;Да;438389;127;136;2725;3223;0;100;15037;5;FBO;3;14.4;24.9;34.7;88913;5620;0.03;7.72;0;29.3;2024-06-15
Комбинезон утепленный ZipkidZ;https://www.ozon.ru/product/1626156948;ZipkidZ;Одежда;Комбинезон утепленный;Да;438384;1138;99;3752;4428;0;100;15512;4;FBO;3;13.5;23;32.2;20899;1517;0.02;12.52;0;56.2;2024-07-11
Пальто SELA;https://www.ozon.ru/product/1675984356;SELA;Одежда;Пальто;Да;438384;212;42;9041;10438;207656;68;23073;2;FBO;3;15.5;19;27.5;23468;1180;0.01;9.32;0;39;2024-08-30
Джемпер SELA;https://www.ozon.ru/product/1625120719;SELA;Одежда;Джемпер;Да;438236;667;391;811.5;1121;0;100;15593;14;FBO;4;2.7;26.5;38.3;140521;10816;0.03;8.27;0;51;2024-07-10
Джинсы BlackOff Wide Leg Baggy fit;https://www.ozon.ru/product/1533661152;BlackOff;Одежда;Джинсы;Да;438178;46;115;2861.3;3810;0;100;14999;4;FBO;2;1.5;21.3;30.2;35138;3423;0.05;9.93;2.6;38;2024-04-07
Шуба искусственная МОДНАЯ ОДЕЖДА Тедди;https://www.ozon.ru/product/1649071808;МОДНАЯ ОДЕЖДА;Одежда;Шуба искусственная;Да;438177;261;61;6349;7183;146059;75;20866;3;FBO,FBS;5;39.4;24.5;33.8;37762;3173;0.01;5.64;0;35.5;2024-08-05
Платье Lichi;https://www.ozon.ru/product/1555484157;Lichi;Одежда;Платье;Да;438103;23;53;7923;8266;32452;93;16226;2;FBO,FBS;6;2.1;19.7;28.1;29231;2144;0.08;9.18;0;33.3;2024-04-23
Комбинезон утепленный;https://www.ozon.ru/product/1615164076;без бренда;Одежда;Комбинезон утепленный;Да;438074;279;77;5095;5689;117688;79;19615;3;FBO;4;35;25.5;35.1;19917;2540;0.04;9.17;0;40.7;2024-06-27
Куртка one2mi Зимняя;https://www.ozon.ru/product/1677727038;one2mi;Одежда;Куртка;Да;438066;1667;61;5464;7181;16242;96;16242;2;FBO;4;45.2;25.6;35.1;102555;3614;0.01;7.22;8.6;54.2;2024-09-01
Комбинезон-трансформер ArctiLine;https://www.ozon.ru/product/1625496312;ArctiLine;Одежда;Комбинезон-трансформер;Да;438065;238;33;11738;13275;33697;93;16849;1;FBO;4;13.5;18.4;26.8;7420;886;0.08;10.15;0;32.2;2024-07-10
Пальто BYDAY.;https://www.ozon.ru/product/656210012;BYDAY.;Одежда;Пальто;Да;438062;28;49;8433;8940;229563;64;22956;3;FBO,FBS;4;27.4;21.3;30.1;10896;745;0;13.15;0;41.8;2022-07-29
Куртка PlayToday;https://www.ozon.ru/product/1095723075;PlayToday;Одежда;Куртка;Да;437993;454;82;5016.1;5341;72037;86;18009;3;FBO;5;39.3;26.4;36.2;23832;2149;0.04;13.63;0;44.7;2023-07-24
Джинсы DENIM STR;https://www.ozon.ru/product/1666140844;DENIM STR;Одежда;Джинсы;Да;437989;595;160;2115.8;2737;33523;93;16762;6;FBO;4;7;23.3;32.9;5034;1468;0.03;19.61;3.2;48.3;2024-08-22
Куртка oodji Ultra;https://www.ozon.ru/product/293495480;oodji;Одежда;Куртка;Да;437868;115;369;792.2;1187;574998;43;35937;30;FBO;5;9;28.9;40.6;109622;8537;0.02;8.76;0;62.6;2021-07-22
Куртка TIZOMO Осенняя коллекция;https://www.ozon.ru/product/1630403718;TIZOMO;Одежда;Куртка;Да;437848;-6;77;3967;5686;0;100;15478;3;FBO;4;25.6;24.1;33.3;58555;3833;0.01;9.07;0;43.8;2024-07-17
Джинсы Nickel Looks Джинса;https://www.ozon.ru/product/1630832256;Nickel Looks;Одежда;Джинсы;Да;437832;101;148;1376.7;2958;0;100;15002;5;FBO;3;5;22.6;32;15880;1765;0.07;25.55;0;36.3;2024-07-17
Куртка V A;https://www.ozon.ru/product/1180329360;V A;Одежда;Куртка;Да;437727;72;95;306;4608;16096;96;16096;3;FBO;3;20.4;24.3;33.7;150097;6521;0;4.01;16.2;36.6;2023-09-08
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1307787698;Fart Favorita;Одежда;Брюки утепленные;Да;437641;1366;565;91;775;0;100;15529;20;FBO;3;3.6;28.8;41.6;37298;5362;0.02;20.51;0;58.6;2023-11-24
Свитер Tekellini;https://www.ozon.ru/product/1659613919;Tekellini;Одежда;Свитер;Да;437570;341;344;1;1272;0;100;15109;12;FBO;4;4.9;26.1;37.2;145466;15494;0.04;7.3;1.8;65;2024-08-15
Пальто fadjo;https://www.ozon.ru/product/1022325443;fadjo;Одежда;Пальто;Да;437541;291;162;2046.8;2701;171628;71;21454;8;FBO;7;15.8;25.8;35.8;428531;15548;0.01;3.58;0;33.5;2023-06-08
Комбинезон утепленный ArctLand;https://www.ozon.ru/product/1618493804;ArctLand;Одежда;Комбинезон утепленный;Да;437428;44;54;1324;8101;96729;82;19346;2;FBO;5;13.9;20.7;29.4;8324;1501;0.04;11.65;1.2;48;2024-07-02
Толстовка;https://www.ozon.ru/product/1694937614;без бренда;Одежда;Толстовка;Да;437354;2447;463;559;945;51615;89;17205;18;FBO;4;3;26.2;37.9;145812;13085;0.08;9.85;0;65.2;2024-09-16
Пальто MONAMO life Одежда для женщин;https://www.ozon.ru/product/1409748957;MONAMO life;Одежда;Пальто;Да;437311;-18;55;5512;7951;0;100;15055;2;FBO;4;43.5;24.3;33.6;40771;3871;0.01;7.07;0;26.4;2024-01-30
Куртка GAZZE;https://www.ozon.ru/product/1615199186;GAZZE;Одежда;Куртка;Да;437308;65;74;5415;5910;204678;68;22742;4;FBO;5;24.7;23.9;33.1;37249;2035;0.01;9.33;2;50;2024-06-27
Пальто пуховое Jan Steen;https://www.ozon.ru/product/1117875401;Jan Steen;Одежда;Пальто пуховое;Да;437282;49;70;5454;6247;226874;64;22687;4;FBO;6;9.6;21.7;30.5;23026;2639;0.05;9.81;0;49.2;2023-08-03
Костюм спортивный;https://www.ozon.ru/product/1442887962;без бренда;Одежда;Костюм спортивный;Да;437251;-21;102;1898.9;4287;0;100;15212;4;FBO;3;11.6;22.7;31.8;123850;11652;0.01;3.47;14.3;42.7;2024-02-29
Пальто Concept Club;https://www.ozon.ru/product/1667815536;Concept Club;Одежда;Пальто;Да;437169;408;68;5345.8;6429;0;100;15422;2;FBO;4;19.6;22.8;31.7;21517;4030;0.04;4.78;0;41.5;2024-08-23
Пальто EVKA Brand;https://www.ozon.ru/product/1657306668;EVKA Brand;Одежда;Пальто;Да;437137;235;84;3601.5;5204;93390;82;18678;4;FBO;3;12;22.3;31.3;56659;4411;0.01;7.2;0.4;51.1;2024-08-13
Брюки ZANY LOVE Классические;https://www.ozon.ru/product/1642857198;ZANY LOVE;Одежда;Брюки;Да;437126;125;195;1883.2;2242;0;100;15370;7;FBO;5;2.6;22.8;32.5;35793;4498;0.02;11.64;1.5;49.2;2024-07-30
Куртка;https://www.ozon.ru/product/1695746930;без бренда;Одежда;Куртка;Да;437122;37713;69;5823;6335;0;100;15647;2;FBO;4;50.3;26.7;36.5;93631;6269;0;5.29;12.3;68.7;2024-09-17
Брюки ТВОЕ Базовая;https://www.ozon.ru/product/806910598;ТВОЕ;Одежда;Брюки;Да;437087;178;464;1;942;0;100;15412;16;FBO;3;1;25.1;36.8;128824;8620;0.02;11.75;0;69.5;2022-11-30
Куртка MONOMIR Осенняя коллекция;https://www.ozon.ru/product/1438601574;MONOMIR;Одежда;Куртка;Да;437078;21;111;3496;3938;0;100;15470;4;FBO;4;24.1;25.9;35.7;67533;3157;0.01;10.42;0;48;2024-02-27
Пуховик 2Women;https://www.ozon.ru/product/1660549158;2Women;Одежда;Пуховик;Да;437019;168;53;7116;8246;113045;79;18841;2;FBO;6;13.9;21;29.7;29987;6864;0;4.22;10.3;44.2;2024-08-16
Куртка U_soul_clo;https://www.ozon.ru/product/1668886753;U_soul_clo;Одежда;Куртка;Да;437001;509;85;4356.2;5141;0;100;14482;3;FBO;4;16.4;23.2;32.3;47184;4286;0.02;6.64;0;35.7;2024-08-24
Комплект верхней одежды SuitExp;https://www.ozon.ru/product/1675940071;SuitExp;Одежда;Комплект верхней одежды;Да;436985;Нет данных;34;11009;12852;94997;82;18999;1;FBO;3;35;19.9;28.6;12853;1036;0.03;13.99;0;46.8;2024-08-30
Куртка;https://www.ozon.ru/product/1072815493;без бренда;Одежда;Куртка;Да;436964;-10;45;9107;9710;15489;96;15489;2;FBS;7;35;21.8;30.8;51017;5674;0.01;4.86;3.1;55.8;2023-07-10
Свитер Happyfox Для женщин;https://www.ozon.ru/product/1135525341;Happyfox;Одежда;Свитер;Да;436921;1130;281;1164;1555;94284;82;18857;12;FBO,FBS;6;0.9;22.8;32.9;113722;11480;0.03;7.87;0.1;61.1;2023-08-15
Костюм спортивный HADI KIDS Школа;https://www.ozon.ru/product/1665455109;HADI KIDS;Одежда;Костюм спортивный;Да;436854;162;146;2846;2992;200175;68;22242;7;FBO;5;9.1;23.9;33.5;20745;1508;0.01;24.27;0;70.7;2024-08-21
Брюки LAINA;https://www.ozon.ru/product/1588588496;LAINA;Одежда;Брюки;Да;436794;269;345;896;1266;0;100;15322;12;FBO;4;2.8;25.1;36.2;31406;7419;0.01;13.58;0;56.8;2024-05-29
Куртка DEAMILETTI Осенняя коллекция;https://www.ozon.ru/product/1436679250;DEAMILETTI;Одежда;Куртка;Да;436769;90;103;3718.9;4240;0;100;15310;4;FBO;3;33;26.7;36.7;86463;6961;0.01;5.01;1.5;25.7;2024-02-26
Пальто CH-Clothes;https://www.ozon.ru/product/1575444526;CH-Clothes;Одежда;Пальто;Да;436747;91;60;6227;7279;206880;68;22987;3;FBO,FBS;3;14.4;21.7;30.5;61097;5667;0;3.51;19.1;34.5;2024-05-15
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1066289017;CROCKID;Одежда;Комбинезон утепленный;Да;436725;980;58;2280;7530;0;100;15286;2;FBO,FBS;3;9.6;21;29.6;26247;1538;0.09;9.42;0;54.3;2023-07-06
Шуба искусственная Dayri;https://www.ozon.ru/product/1666918159;Dayri;Одежда;Шуба искусственная;Да;436714;726;47;8085;9292;32927;93;16464;2;FBO;2;5.4;19.3;27.8;38112;3814;0.01;5.29;0;37.2;2024-08-22
Брюки OLETRO Палаццо;https://www.ozon.ru/product/1382136260;OLETRO;Одежда;Брюки;Да;436708;198;265;1080.8;1648;51365;89;17122;10;FBO;5;1.2;23.3;33.4;64847;5876;0.02;12.38;8.4;55.8;2024-01-12
Брюки утепленные LAINA;https://www.ozon.ru/product/1666607996;LAINA;Одежда;Брюки утепленные;Да;436642;2371;204;1330;2140;33634;93;16817;8;FBO;5;7.1;24.4;34.5;82311;10573;0.02;7.03;11;45.8;2024-08-22
Куртка;https://www.ozon.ru/product/1295865897;без бренда;Одежда;Куртка;Да;436528;296;87;2231.3;5018;0;100;15450;3;FBO;5;15.4;23.2;32.3;61320;3048;0.02;7.25;0;41.4;2023-11-17
Брюки Fart Favorita;https://www.ozon.ru/product/1184383864;Fart Favorita;Одежда;Брюки;Да;436498;-55;292;1122;1495;0;100;14875;10;FBO;3;2.9;24;34.4;46696;11977;0.07;6.76;0;42.5;2023-09-11
Куртка;https://www.ozon.ru/product/1656347515;без бренда;Одежда;Куртка;Да;436487;380;109;3015;4004;277690;61;25245;6;FBO,FBS;7;11.2;23.2;32.6;130794;7920;0.01;6.52;0.1;52.3;2024-08-12
Лонгслив A. M. N underwear;https://www.ozon.ru/product/1623018618;A. M. N underwear;Одежда;Лонгслив;Да;436477;-34;466;333.9;937;0;100;14950;16;FBO;4;1.4;25.9;37.7;313420;12033;0.04;8.6;7.3;54;2024-07-07
Куртка Осень;https://www.ozon.ru/product/1594500317;без бренда;Одежда;Куртка;Да;436476;90;61;6454.4;7155;0;100;15341;2;FBO;4;27.8;23.4;32.4;106771;5004;0;4.87;6.3;38.3;2024-06-03
Комплект одежды Happyfox Для женщин;https://www.ozon.ru/product/1631183780;Happyfox;Одежда;Комплект одежды;Да;436449;17;70;5461.4;6235;0;100;15142;2;FBO,FBS;3;2.3;20.8;29.4;63595;11455;0.01;3.98;3.8;28.7;2024-07-18
Платье IRINA REZNIKOVA;https://www.ozon.ru/product/418086209;IRINA REZNIKOVA;Одежда;Платье;Да;436410;153;103;3821;4237;0;100;15447;4;FBO;3;2;21.1;29.9;115866;7021;0;6.93;8.2;41.4;2021-12-08
Джемпер Zarina;https://www.ozon.ru/product/1695555627;Zarina;Одежда;Джемпер;Да;436405;Нет данных;173;613;2523;175527;71;21941;9;FBO;4;6;22.9;32.4;61136;5021;0.07;9.95;0;69.2;2024-09-17
Куртка Keotica;https://www.ozon.ru/product/226814513;Keotica;Одежда;Куртка;Да;436361;11;78;4478.4;5594;0;100;14633;3;FBO;3;9.8;21.9;30.7;55183;4535;0.02;4.93;7.7;67.1;2021-02-02
Комбинезон-трансформер ArctiLine;https://www.ozon.ru/product/1625364420;ArctiLine;Одежда;Комбинезон-трансформер;Да;436338;30;41;9107;10642;51144;89;17048;2;FBO;5;12;19.2;27.6;12885;1048;0.03;10.59;0.3;62.5;2024-07-10
Легинсы;https://www.ozon.ru/product/1180976092;без бренда;Одежда;Легинсы;Да;436314;825;409;750.8;1067;0;100;15593;15;FBS;7;0.3;24.6;36;171722;14457;0.04;9.47;21.8;81.2;2023-09-08
Жилет утепленный BRUCLIN;https://www.ozon.ru/product/1681627725;BRUCLIN;Одежда;Жилет утепленный;Да;436302;128;129;1;3382;119263;79;19877;6;FBO;3;16.8;25.2;35;34497;10393;0.01;3.84;12.3;47.8;2024-09-04
Джемпер FLOW LAB;https://www.ozon.ru/product/1613927083;FLOW LAB;Одежда;Джемпер;Да;436246;33;193;1754.3;2260;0;100;14937;7;FBO;3;9.6;25;35.1;49078;6803;0.02;7.48;6.3;59;2024-06-25
Брюки Soft home;https://www.ozon.ru/product/391367804;Soft home;Одежда;Брюки;Нет;436220;67;561;355.8;778;0;100;15165;19;FBO;3;1.4;28.4;41.8;68003;10206;0.02;10.39;0;79;2021-11-17
Свитер Zarina;https://www.ozon.ru/product/1683759685;Zarina;Одежда;Свитер;Да;436155;262;280;7.4;1558;0;100;15158;10;FBO;4;6.3;25.2;35.6;106345;13937;0.05;6.14;0;45.3;2024-09-06
Комплект верхней одежды Lassie;https://www.ozon.ru/product/1083502748;Lassie;Одежда;Комплект верхней одежды;Да;436151;217;119;2777.3;3665;0;100;15479;4;FBO;4;28.4;29;39.7;18314;2778;0.05;11.12;0;Нет данных;Нет данных
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1619862122;CROCKID;Одежда;Комбинезон утепленный;Да;436146;Нет данных;64;6234;6815;33550;93;16775;2;FBS;7;9.6;21.5;30.2;18806;2024;0.07;9.48;0;68.3;2024-07-03
Куртка PINKVIN Зима;https://www.ozon.ru/product/1213357980;PINKVIN;Одежда;Куртка;Да;436100;Нет данных;70;5894;6230;16152;96;16152;3;FBO;5;17.3;22.7;31.7;45674;2862;0.03;9.04;3.6;53;2023-09-27
Свитшот Ublossom;https://www.ozon.ru/product/1695511776;Ublossom;Одежда;Свитшот;Да;436090;793;147;153;2967;32905;93;16452;6;FBO,FBS;4;5.3;22.7;32.1;96085;9741;0.05;7.34;5;64.7;2024-09-17
